url,status,current_title,current_meta_description,suggested_meta_title,suggested_meta_description,content_type,error
https://www.twstackle.com/departments/backpack-coolers-|75|75A|075002.html,200,BACKPACK COOLERS,,BACKPACK COOLERS | TW's Bait & Tackle,Browse BACKPACK COOLERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bait--lures--amp--attractants-|25|25D.html,200,"BAIT, LURES & ATTRACTANTS",,"BAIT, LURES & ATTRACTANTS | TW's Bait & Tackle","Browse BAIT, LURES & ATTRACTANTS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bait-alternatives-|25|25D|025130.html,200,BAIT ALTERNATIVES,,BAIT ALTERNATIVES | TW's Bait & Tackle,Browse BAIT ALTERNATIVES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bajio-|45|45A|045008.html,200,BAJIO,,BAJIO | TW's Bait & Tackle,Browse BAJIO and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/beach--patio--amp--houseware-|95|95F.html,200,"BEACH, PATIO & HOUSEWARE",,"BEACH, PATIO & HOUSEWARE | TW's Bait & Tackle","Browse BEACH, PATIO & HOUSEWARE and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/binoculars-|55|55A|055005.html,200,BINOCULARS,,BINOCULARS | TW's Bait & Tackle,Browse BINOCULARS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/blinds--stands--covers--amp--chairs-|55|55E|055153.html,200,"BLINDS, STANDS, COVERS & CHAIRS",,"BLINDS, STANDS, COVERS & CHAIRS | TW's Bait & Tackle","Browse BLINDS, STANDS, COVERS & CHAIRS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boat-accessories-|65|65H.html,200,BOAT ACCESSORIES,,BOAT ACCESSORIES | TW's Bait & Tackle,Browse BOAT ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boat-flags-|65|65H|065219.html,200,BOAT FLAGS,,BOAT FLAGS | TW's Bait & Tackle,Browse BOAT FLAGS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boating--amp--kayaking-%7C65.html,200,BOATING & KAYAKING,,Boating & Kayaking Supplies | TW's Bait & Tackle,"Shop essential boating and kayaking equipment, accessories, and safety gear for your next day on the water.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/boating--amp--kayaking-|65.html,200,BOATING & KAYAKING,,BOATING & KAYAKING | TW's Bait & Tackle,Browse BOATING & KAYAKING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/books--brochures--videos--amp--maps-|95|95E.html,200,"BOOKS, BROCHURES, VIDEOS & MAPS",,"BOOKS, BROCHURES, VIDEOS & MAPS | TW's Bait & Tackle","Browse BOOKS, BROCHURES, VIDEOS & MAPS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/braided-line-|25|25F|025151.html,200,BRAIDED LINE,,BRAIDED LINE | TW's Bait & Tackle,Browse BRAIDED LINE and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/brumate-|75|75B|075101.html,200,BRUMATE,,BRUMATE | TW's Bait & Tackle,Browse BRUMATE and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/buckets--aerators--amp--bait-holders-|25|25J|025208.html,200,"BUCKETS, AERATORS & BAIT HOLDERS",,"BUCKETS, AERATORS & BAIT HOLDERS | TW's Bait & Tackle","Browse BUCKETS, AERATORS & BAIT HOLDERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bucktails-|25|25D|025125.html,200,BUCKTAILS,,BUCKTAILS | TW's Bait & Tackle,Browse BUCKTAILS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/bucktails-|25|25E|025125.html,200,BUCKTAILS,,BUCKTAILS | TW's Bait & Tackle,Browse BUCKTAILS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/camping-supplies-|75|75G.html,200,CAMPING SUPPLIES,,CAMPING SUPPLIES | TW's Bait & Tackle,Browse CAMPING SUPPLIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/cart--amp--carrier-accessories-|75|75F|075163.html,200,CART & CARRIER ACCESSORIES,,CART & CARRIER ACCESSORIES | TW's Bait & Tackle,Browse CART & CARRIER ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/carts--rod-racks--amp--carriers-|75|75F.html,200,"CARTS, ROD RACKS & CARRIERS",,"CARTS, ROD RACKS & CARRIERS | TW's Bait & Tackle","Browse CARTS, ROD RACKS & CARRIERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/cast-nets-|25|25J|025206.html,200,CAST NETS,,CAST NETS | TW's Bait & Tackle,Browse CAST NETS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/casting--amp--conventional-combos-|25|25C|025111.html,200,CASTING & CONVENTIONAL COMBOS,,CASTING & CONVENTIONAL COMBOS | TW's Bait & Tackle,Browse CASTING & CONVENTIONAL COMBOS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/casting--amp--conventional-reels-|25|25B|025101.html,200,CASTING & CONVENTIONAL REELS,,CASTING & CONVENTIONAL REELS | TW's Bait & Tackle,Browse CASTING & CONVENTIONAL REELS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/casting--amp--conventional-reels-|25|25D|025101.html,200,CASTING & CONVENTIONAL REELS,,CASTING & CONVENTIONAL REELS | TW's Bait & Tackle,Browse CASTING & CONVENTIONAL REELS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/casting--amp--conventional-rods-|25|25A|025002.html,200,CASTING & CONVENTIONAL RODS,,CASTING & CONVENTIONAL RODS | TW's Bait & Tackle,Browse CASTING & CONVENTIONAL RODS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/casual--comfort--amp--atheletic-|35|35E|035162.html,200,"CASUAL, COMFORT & ATHELETIC",,"CASUAL, COMFORT & ATHELETIC | TW's Bait & Tackle","Browse CASUAL, COMFORT & ATHELETIC and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/casual--comfort--amp--atheletic-|35|35F|035182.html,200,"CASUAL, COMFORT & ATHELETIC",,"CASUAL, COMFORT & ATHELETIC | TW's Bait & Tackle","Browse CASUAL, COMFORT & ATHELETIC and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/centerfire-rifle-scopes-|55|55A|055001.html,200,CENTERFIRE RIFLE SCOPES,,CENTERFIRE RIFLE SCOPES | TW's Bait & Tackle,Browse CENTERFIRE RIFLE SCOPES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/clam--crab--scallop--amp--oyster-kni-|85|85A|085009.html,200,"CLAM, CRAB, SCALLOP & OYSTER KNI",,"CLAM, CRAB, SCALLOP & OYSTER KNI | TW's Bait & Tackle","Browse CLAM, CRAB, SCALLOP & OYSTER KNI and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/clam--crab--scallop--amp--oyster-kni-|85|85C|085009.html,200,"CLAM, CRAB, SCALLOP & OYSTER KNI",,"CLAM, CRAB, SCALLOP & OYSTER KNI | TW's Bait & Tackle","Browse CLAM, CRAB, SCALLOP & OYSTER KNI and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/clippers--amp--snips-|85|85B|085105.html,200,CLIPPERS & SNIPS,,CLIPPERS & SNIPS | TW's Bait & Tackle,Browse CLIPPERS & SNIPS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/clippers--amp--snips-|85|85C|085105.html,200,CLIPPERS & SNIPS,,CLIPPERS & SNIPS | TW's Bait & Tackle,Browse CLIPPERS & SNIPS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/cooking-kits--amp--accessories-|95|95F|095180.html,200,COOKING KITS & ACCESSORIES,,COOKING KITS & ACCESSORIES | TW's Bait & Tackle,Browse COOKING KITS & ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/cooler-accessories-|75|75A|075007.html,200,COOLER ACCESSORIES,,COOLER ACCESSORIES | TW's Bait & Tackle,Browse COOLER ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/coolers--amp--gear-%7C75.html,200,COOLERS & GEAR,,Coolers & Outdoor Gear | TW's Bait & Tackle,"Keep food and drinks cold with premium coolers and outdoor gear from YETI, Brumate, and more.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/coolers--amp--gear-|75.html,200,COOLERS & GEAR,,COOLERS & GEAR | TW's Bait & Tackle,Browse COOLERS & GEAR and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/coolers-|75|75A.html,200,COOLERS,,COOLERS | TW's Bait & Tackle,Browse COOLERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/costa-|45|45A|045001.html,200,COSTA,,COSTA | TW's Bait & Tackle,Browse COSTA and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/crabbing--clamming--amp--sand-fleas-|25|25J|025205.html,200,"CRABBING, CLAMMING & SAND FLEAS",,"CRABBING, CLAMMING & SAND FLEAS | TW's Bait & Tackle","Browse CRABBING, CLAMMING & SAND FLEAS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/cutting--amp--fillet-boards-|85|85A|085010.html,200,CUTTING & FILLET BOARDS,,CUTTING & FILLET BOARDS | TW's Bait & Tackle,Browse CUTTING & FILLET BOARDS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/decals--amp--magnets-|95|95D|095141.html,200,DECALS & MAGNETS,,DECALS & MAGNETS | TW's Bait & Tackle,Browse DECALS & MAGNETS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/deck--amp--boat-shoes-|35|35E|035160.html,200,DECK & BOAT SHOES,,DECK & BOAT SHOES | TW's Bait & Tackle,Browse DECK & BOAT SHOES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/deck--amp--boat-shoes-|35|35F|035180.html,200,DECK & BOAT SHOES,,DECK & BOAT SHOES | TW's Bait & Tackle,Browse DECK & BOAT SHOES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/deck--amp--boat-shoes-|35|35G|035200.html,200,DECK & BOAT SHOES,,DECK & BOAT SHOES | TW's Bait & Tackle,Browse DECK & BOAT SHOES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/decoys--amp--gear-|55|55D.html,200,DECOYS & GEAR,,DECOYS & GEAR | TW's Bait & Tackle,Browse DECOYS & GEAR and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/dive-accessories-|65|65I.html,200,DIVE ACCESSORIES,,DIVE ACCESSORIES | TW's Bait & Tackle,Browse DIVE ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/dredges-|25|25E|025142.html,200,DREDGES,,DREDGES | TW's Bait & Tackle,Browse DREDGES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/dredges-|25|25J|025142.html,200,DREDGES,,DREDGES | TW's Bait & Tackle,Browse DREDGES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/drinkware-|75|75B.html,200,DRINKWARE,,DRINKWARE | TW's Bait & Tackle,Browse DRINKWARE and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/e-gift-card-|95|95A|095001.html,200,E-GIFT CARD,,E-GIFT CARD | TW's Bait & Tackle,Browse E-GIFT CARD and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/essentials--amp--accessories-|65|65H|065218.html,200,ESSENTIALS & ACCESSORIES,,ESSENTIALS & ACCESSORIES | TW's Bait & Tackle,Browse ESSENTIALS & ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/eyewear-%7C45.html,200,EYEWEAR,,Fishing & Outdoor Eyewear | TW's Bait & Tackle,Find polarized sunglasses and performance eyewear designed to reduce glare and improve visibility on the water.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/eyewear-accessories-|45|45C.html,200,EYEWEAR ACCESSORIES,,EYEWEAR ACCESSORIES | TW's Bait & Tackle,Browse EYEWEAR ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/eyewear-|45.html,200,EYEWEAR,,EYEWEAR | TW's Bait & Tackle,Browse EYEWEAR and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/feet--amp--hand-warmers-|55|55E|055154.html,200,FEET & HAND WARMERS,,FEET & HAND WARMERS | TW's Bait & Tackle,Browse FEET & HAND WARMERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fillet-knives-|85|85A|085005.html,200,FILLET KNIVES,,FILLET KNIVES | TW's Bait & Tackle,Browse FILLET KNIVES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fish-landing-tools-|25|25J|025202.html,200,FISH LANDING TOOLS,,FISH LANDING TOOLS | TW's Bait & Tackle,Browse FISH LANDING TOOLS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fishing-%7C25.html,200,FISHING,,Fishing Gear & Tackle | TW's Bait & Tackle,"Explore rods, reels, lures, line, rigs, and accessories for surf, inshore, and offshore fishing at TW's Bait & Tackle.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fishing-accessories-|25|25J.html,200,FISHING ACCESSORIES,,FISHING ACCESSORIES | TW's Bait & Tackle,Browse FISHING ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fishing-gloves-|35|35A|035007.html,200,FISHING GLOVES,,FISHING GLOVES | TW's Bait & Tackle,Browse FISHING GLOVES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fishing-|25.html,200,FISHING,,FISHING | TW's Bait & Tackle,Browse FISHING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fishing-|65|65A|065001.html,200,FISHING,,FISHING | TW's Bait & Tackle,Browse FISHING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fixed-blades-|85|85A|085003.html,200,FIXED BLADES,,FIXED BLADES | TW's Bait & Tackle,Browse FIXED BLADES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/flashlights--amp--headlamps-|75|75G|075180.html,200,FLASHLIGHTS & HEADLAMPS,,FLASHLIGHTS & HEADLAMPS | TW's Bait & Tackle,Browse FLASHLIGHTS & HEADLAMPS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/flies-|25|25D|025132.html,200,FLIES,,FLIES | TW's Bait & Tackle,Browse FLIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/fluorocarbon-line-|25|25F|025152.html,200,FLUOROCARBON LINE,,FLUOROCARBON LINE | TW's Bait & Tackle,Browse FLUOROCARBON LINE and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/game-calls-|55|55C.html,200,GAME CALLS,,GAME CALLS | TW's Bait & Tackle,Browse GAME CALLS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/game-shears--amp--scissors-|85|85A|085007.html,200,GAME SHEARS & SCISSORS,,GAME SHEARS & SCISSORS | TW's Bait & Tackle,Browse GAME SHEARS & SCISSORS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/gear-storage--amp--carry-bags-|75|75C.html,200,GEAR STORAGE & CARRY BAGS,,GEAR STORAGE & CARRY BAGS | TW's Bait & Tackle,Browse GEAR STORAGE & CARRY BAGS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/gift-card-|95|95A|095002.html,200,GIFT CARD,,GIFT CARD | TW's Bait & Tackle,Browse GIFT CARD and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/gift-cards-|95|95A.html,200,GIFT CARDS,,GIFT CARDS | TW's Bait & Tackle,Browse GIFT CARDS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/gifts-%7C95.html,200,GIFTS,,Gifts for Anglers & Outdoorsmen | TW's Bait & Tackle,"Find gift ideas for fishermen and outdoor lovers, including apparel, accessories, drinkware, and more.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/gifts-|95.html,200,GIFTS,,GIFTS | TW's Bait & Tackle,Browse GIFTS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/gigging--amp--spearing-|25|25J|025209.html,200,GIGGING & SPEARING,,GIGGING & SPEARING | TW's Bait & Tackle,Browse GIGGING & SPEARING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hand-crimpers-|85|85B|085103.html,200,HAND CRIMPERS,,HAND CRIMPERS | TW's Bait & Tackle,Browse HAND CRIMPERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hard-sided-coolers-|75|75A|075003.html,200,HARD SIDED COOLERS,,HARD SIDED COOLERS | TW's Bait & Tackle,Browse HARD SIDED COOLERS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hats--caps--amp--buffs-|35|35A|035004.html,200,"HATS, CAPS & BUFFS",,"HATS, CAPS & BUFFS | TW's Bait & Tackle","Browse HATS, CAPS & BUFFS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hats--caps--amp--buffs-|35|35C|035123.html,200,"HATS, CAPS & BUFFS",,"HATS, CAPS & BUFFS | TW's Bait & Tackle","Browse HATS, CAPS & BUFFS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/health--amp--well-being-|95|95C.html,200,HEALTH & WELL BEING,,HEALTH & WELL BEING | TW's Bait & Tackle,Browse HEALTH & WELL BEING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/helm-chairs--amp--harnesses-|65|65C|065123.html,200,HELM CHAIRS & HARNESSES,,HELM CHAIRS & HARNESSES | TW's Bait & Tackle,Browse HELM CHAIRS & HARNESSES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hunting--amp--shooting-%7C55.html,200,HUNTING & SHOOTING,,Hunting & Shooting Gear | TW's Bait & Tackle,"Discover hunting optics, game calls, decoys, and accessories from trusted brands at TW's Bait & Tackle.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hunting--amp--shooting-|55.html,200,HUNTING & SHOOTING,,HUNTING & SHOOTING | TW's Bait & Tackle,Browse HUNTING & SHOOTING and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/hunting-accessories-|55|55E.html,200,HUNTING ACCESSORIES,,HUNTING ACCESSORIES | TW's Bait & Tackle,Browse HUNTING ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/insect-repellents-|95|95C|095110.html,200,INSECT REPELLENTS,,INSECT REPELLENTS | TW's Bait & Tackle,Browse INSECT REPELLENTS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/kayak-accessories-|65|65A|065005.html,200,KAYAK ACCESSORIES,,KAYAK ACCESSORIES | TW's Bait & Tackle,Browse KAYAK ACCESSORIES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/kayak-carriers--amp--racks-|65|65B|065100.html,200,KAYAK CARRIERS & RACKS,,KAYAK CARRIERS & RACKS | TW's Bait & Tackle,Browse KAYAK CARRIERS & RACKS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/kayaks--sup-s--amp--canoes-|65|65A.html,200,"KAYAKS, SUP'S & CANOES",,"KAYAKS, SUP'S & CANOES | TW's Bait & Tackle","Browse KAYAKS, SUP'S & CANOES and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.",text/html; charset=iso-8859-1,
https://www.twstackle.com/departments/knives--amp--shears-|85|85A.html,200,KNIVES & SHEARS,,KNIVES & SHEARS | TW's Bait & Tackle,Browse KNIVES & SHEARS and related gear at TW's Bait & Tackle. Find quality products from trusted outdoor brands.,text/html; charset=iso-8859-1,
